№,Название завтрака:,Ингредиенты на 1 порцию:,Приготовление:,Какое блюдо,Блюдо из,Тип блюда
11,Суп крупяной на курином бульоне,"Куриное филе – 50 г
Вода – 300 мл (для бульона)
🌾 Крупа (гречневая, рисовая или булгур) – 2 ст. ложки (около 20-25 г)
🥕 Морковь – 30 г (примерно 1/3 средней моркови)
🥔 Картофель – 50 г (примерно 1/2 средней картофелины)
Лавровый лист – 1 шт.
🧂 Соль – по вкусу (рекомендуется минимальное количество)
🌿 Зелень (укроп, петрушка) – для украшения","Куриное филе промойте и положите в кастрюлю с водой.
Доведите воду до кипения, снимите пену и добавьте лавровый лист.
Варите на среднем огне 15-20 минут до готовности куриного филе.
Достаньте филе из бульона и нарежьте небольшими кубиками или оставьте целым, если планируете подать его вместе с супом.
В выбранную крупу (гречку, рис или булгур) промойте и добавьте в кипящий куриный бульон.
Морковь очистите и нарежьте тонкими кружочками или кубиками.
Картофель очистите и нарежьте небольшими кубиками.
Добавьте нарезанный картофель и морковь в бульон с крупой.
Варите на среднем огне 15-20 минут, пока крупа и овощи не станут мягкими.
Посолите суп по вкусу, но старайтесь использовать минимальное количество соли.
Верните нарезанное куриное филе в суп.
Выньте лавровый лист перед подачей.
Разлейте суп по тарелкам и украсьте свежей зеленью.",суп,крупяной,Первое блюдо
12,Суп крупяной с цветной капустой или брокколи,"🍚 Крупа (гречка, рис, булгур или перловка) – 2 ст. л. (30 г)
🥔 Картофель – 1 шт. (средний, 100 г)
🥕 Морковь – 1/2 шт. (50 г)
🧅 Лук – 1/4 шт.
🥦 Цветная капуста (или брокколи) – 50 г
Вода – 300-400 мл
🧂 Соль – по вкусу
Лавровый лист – 1 шт.
🌿 Свежая зелень (укроп, петрушка) – по желанию","Промойте выбранную крупу (гречку, рис, булгур или перловку). Если используете перловку, её можно замочить на несколько часов заранее.
Картофель очистите и нарежьте кубиками.
Морковь нарежьте кружочками или мелкими кубиками.
Лук мелко нашинкуйте.
Цветную капусту (или брокколи) разберите на небольшие соцветия.
В кастрюлю налейте воду и доведите её до кипения.
Добавьте картофель, морковь, лук и крупу. Варите около 15 минут на среднем огне.
Затем добавьте цветную капусту или брокколи и варите ещё 5-7 минут до готовности всех ингредиентов.
Добавьте лавровый лист и посолите суп по вкусу за 5 минут до окончания варки.
Снимите суп с огня, удалите лавровый лист.
Перед подачей посыпьте свежей зеленью. Суп подаётся горячим.",суп,крупяной,Первое блюдо
13,Суп молочный с крупой,"🍚 Крупа (рис, манка, гречка) – 2 столовые ложки
🥛 Молоко (коровье, миндальное или другое) – 200 мл
Вода – 100 мл
🧂 Соль – по вкусу
🍬 Сахар – 1 чайная ложка (по желанию)","Промойте выбранную крупу в холодной воде, особенно если используете рис или гречку, чтобы удалить излишки крахмала.
В небольшой кастрюле доведите до кипения 100 мл воды, добавьте промытую крупу и варите на слабом огне 5-10 минут, пока крупа не начнет размягчаться.
Влейте 200 мл молока в кастрюлю, хорошо перемешайте. Уменьшите огонь и продолжайте варить, периодически помешивая, чтобы крупа не прилипала ко дну.
Добавьте соль по вкусу и, если хотите, немного сахара.
Варите суп до полной готовности крупы, примерно 10-15 минут. Суп должен стать однородным и густоватым.
Подавайте суп теплым. По желанию, можно добавить немного сливочного масла или меда для улучшения вкуса (если диета позволяет).",суп,молочный,Первое блюдо
14,Суп молочный с вермишелью,"🥛 Молоко (коровье, миндальное или другое) – 250 мл
Вода – 100 мл
Вермишель (мелкая) – 30 г
🍬 Сахар – по вкусу (опционально, 1/2 ч.л.)
🧂 Соль – щепотка
🧈 Масло сливочное – 1 ч.л. (по желанию)","Налейте воду в кастрюлю, доведите до кипения.
После закипания воды добавьте вермишель. Варите ее на среднем огне 3-5 минут до полуготовности.
Влейте молоко в кастрюлю к вермишели, перемешайте. Варите на небольшом огне, постоянно помешивая, чтобы молоко не подгорело.
Когда суп закипит, добавьте щепотку соли и по желанию сахар. Варите еще 3-4 минуты, пока вермишель не станет мягкой.
После того как суп будет готов, можно добавить немного сливочного масла для вкуса.
Молочный суп с вермишелью подавайте теплым.",суп,молочный,Первое блюдо
15,Бульон куриный с овощами,"Куриное филе (или грудка) – 100 г
Вода – 400 мл
🥕 Морковь – 1/2 штуки
🥬 Цветная капуста – 50 г
🥦 Брокколи – 50 г
🧅 Лук – 1/4 головки
🌿 Сельдерей – 1 стебель (по желанию)
Лавровый лист – 1 шт.
🧂 Соль – по вкусу
🌿 Зелень (укроп, петрушка) – по вкусу","Куриное филе промойте и положите в кастрюлю. Залейте 400 мл воды и доведите до кипения. После закипания снимите пену и варите на слабом огне около 20 минут.
Пока курица варится, очистите и нарежьте морковь кольцами или кубиками. Цветную капусту и брокколи разделите на небольшие соцветия. Лук нарежьте кубиками, сельдерей нарежьте ломтиками (если используете).
Когда куриное филе сварится, выньте его из бульона, нарежьте на небольшие кусочки и верните обратно в кастрюлю. Добавьте нарезанные овощи и лавровый лист.
Варите бульон с овощами на слабом огне еще 15-20 минут, пока овощи не станут мягкими. Посолите по вкусу.
Снимите суп с огня, добавьте мелко нарезанную зелень.
Подавать куриный бульон с овощами можно теплым. Для улучшения вкуса можно добавить ломтик лимона (если переносится) или немного домашнего сухарика из цельнозернового хлеба.",бульон,куриный,Первое блюдо
16,Куриная грудка на пару,"Куриная грудка (без кожи) – 150-200 г
🧂 Соль – по вкусу
Лавровый лист – 1 шт. (по желанию)
🌿 Свежая зелень (укроп, петрушка) для подачи","Промойте куриную грудку под холодной водой и обсушите бумажным полотенцем.
При необходимости удалите остатки жира и пленок.
Легко посолите грудку с обеих сторон.
В емкость пароварки налейте воду и добавьте лавровый лист для аромата (по желанию).
Доведите воду до кипения.
Поместите куриную грудку в корзину пароварки.
Готовьте на пару около 20-25 минут, в зависимости от толщины грудки, пока она не станет полностью белой и нежной внутри.
Чтобы убедиться, что грудка готова, проколите ее вилкой — сок должен быть прозрачным.
Подавайте куриную грудку горячей, посыпав мелко нарезанной зеленью по вкусу.
Для большего аромата можно добавить в воду лимон или травы.",второе блюдо,курица,второе блюдо
17,"Куриное филе, запеченное с травами","Куриное филе – 150-200 г
🧈 Оливковое масло – 1 ч. л.
Сухие травы (тимьян, орегано, розмарин) – 1/2 ч. л.
🧄 Чеснок – 1 зубчик (по желанию)
🧂 Соль – по вкусу
🌶️ Свежемолотый черный перец – по вкусу (по желанию)","Промойте куриное филе и обсушите бумажным полотенцем.
Легко натрите филе солью и травами.
При желании, добавьте немного черного перца.
В миске смешайте оливковое масло с измельченным чесноком и добавьте травы (тимьян, орегано, розмарин).
Натрите филе получившейся смесью и оставьте мариноваться на 15-30 минут (можно мариновать дольше для более насыщенного вкуса).
Разогрейте духовку до 180°C.
Выложите филе в форму для запекания или на противень, застеленный пергаментом.
Запекайте в течение 20-25 минут, пока курица не станет золотистой и полностью приготовленной (внутренняя температура курицы должна достичь 75°C).
Подавайте горячим с гарниром из овощей или каши. Можно украсить свежей зеленью.
Для сочности можно завернуть куриное филе в фольгу на время запекания, а за 5 минут до готовности раскрыть для подрумянивания.",второе блюдо,курица,второе блюдо
18,"Куриное филе, тушеное в собственном соку","Куриное филе – 150-200 г
Вода – 50 мл (по необходимости)
🧂 Соль – по вкусу
🌶️ Свежемолотый черный перец – по желанию
Лавровый лист – 1 шт. (по желанию)
🌿 Зелень (укроп, петрушка) – для подачи","Промойте куриное филе и обсушите его.
Нарежьте филе на кусочки среднего размера (можно оставить целым по желанию).
Легко посолите и при желании поперчите.
Выложите кусочки курицы в кастрюлю с толстым дном или глубокую сковороду с крышкой.
Добавьте небольшое количество воды (50 мл), чтобы филе тушилось в собственном соку.
При желании добавьте лавровый лист для аромата.
Накройте кастрюлю крышкой и тушите на медленном огне 20-25 минут, периодически проверяя и при необходимости добавляя немного воды, чтобы предотвратить пригорание.
Тушите до тех пор, пока куриное филе не станет мягким и полностью приготовленным (внутренняя температура должна достичь 75°C).
За 5 минут до готовности можно снять крышку, чтобы дать лишней влаге испариться и концентрировать вкус.
Подавайте горячим с любым гарниром (овощами или крупами), посыпав зеленью.
Для разнообразия можно добавить немного чеснока или репчатого лука в процессе тушения, если их переносимость хорошая.",второе блюдо,курица,второе блюдо
19,Куриное филе в молоке с лавровым листом,"Куриное филе – 150 г
🥛 Молоко (низкой жирности) – 150 мл
Лавровый лист – 1 шт.
🧂 Соль – по вкусу","Промойте куриное филе и при необходимости удалите лишние частицы жира.
При желании можно слегка отбить филе для более равномерного приготовления.
В небольшой сотейник или кастрюлю налейте молоко и добавьте лавровый лист.
Выложите куриное филе в молоко, доведите до кипения на среднем огне.
Уменьшите огонь до минимума и тушите курицу в молоке под крышкой 20–25 минут, до полной готовности мяса.
В середине приготовления добавьте соль по вкусу.
Достаньте филе из молока, удалите лавровый лист.
Подавайте куриное филе с легким овощным гарниром или свежими травами.",второе блюдо,курица,второе блюдо
20,Куриные рулеты с зеленью,"Куриное филе – 150 г
🌿 Зелень (укроп, петрушка, шпинат) – 1-2 ст. л.
🧂 Соль – по вкусу
🌶️ Перец – по желанию
🧄 Чеснок – 1 зубчик (по желанию)
Лимонный сок – 1 ч. л. (по желанию)
Нить для завязывания рулетов","Промойте и обсушите куриное филе.
Разрежьте филе вдоль на пласты, толщиной около 1 см. Если куски толстые, можно слегка отбить их, накрыв пленкой, чтобы не повредить мясо.
Легко посолите и поперчите по вкусу.
Измельчите зелень (укроп, петрушку, шпинат).
При желании добавьте мелко нарезанный чеснок и сбрызните лимонным соком для свежести.
Выложите зелень на каждый кусок филе.
Аккуратно сверните филе в рулеты, начиная с узкого конца.
Закрепите каждый рулет ниткой, чтобы они не развернулись во время приготовления.
Выложите куриные рулеты на сковороду с толстым дном или поместите их в пароварку.
Готовьте на пару 20-25 минут, либо тушите в небольшом количестве воды на слабом огне под крышкой до готовности.
Удалите нитки перед подачей.
Подавайте горячими с овощным гарниром или легкими крупами.
Для дополнительного вкуса можно добавить лимонную цедру в начинку или использовать другие свежие травы, такие как базилик.",второе блюдо,курица,второе блюдо
21,Курица в йогуртовом маринаде,"Куриное филе – 150 г
🍶 Натуральный йогурт (без добавок) – 2-3 ст. л.
🧄 Чеснок – 1 зубчик (по желанию)
🌿 Зелень (укроп, петрушка) – 1 ст. л.
Лимонный сок – 1 ч. л.
🧂 Соль – по вкусу
Специи (паприка, куркума) – по желанию","В миске смешайте йогурт, мелко нарезанный чеснок, измельченную зелень, лимонный сок, соль и специи (по желанию).
Промойте куриное филе, обсушите его и поместите в маринад.
Тщательно обмажьте филе йогуртовым маринадом, чтобы оно полностью было покрыто.
Оставьте мариноваться на 1-2 часа в холодильнике (можно дольше, до 4 часов для насыщенного вкуса).
Разогрейте духовку до 180°C.
Выложите маринованное куриное филе в форму для запекания или на противень, застеленный пергаментом.
Запекайте 20-25 минут до полной готовности, пока курица не станет мягкой и сочной.
Подавайте горячей с легким овощным гарниром или салатом.
Йогуртовый маринад делает курицу мягкой и нежной, добавляя легкую кислинку и сохраняет сочность блюда.",второе блюдо,курица,второе блюдо
22,Курица с лимоном,"Куриное филе – 150 г
🍋 Лимон – ½ шт.
🧄 Чеснок – 1 зубчик (по желанию)
🧈 Оливковое масло – 1 ч. л.
🌿 Зелень (петрушка или укроп) – 1 ст. л.
🧂 Соль – по вкусу
🌶️ Перец – по вкусу (по желанию)","Выжмите сок из половины лимона.
В миске смешайте лимонный сок, оливковое масло, мелко нарезанный чеснок (по желанию), соль, перец и мелко нарезанную зелень.
Промойте куриное филе, обсушите его бумажными полотенцами.
Выложите филе в маринад и хорошо обмажьте его со всех сторон.
Оставьте курицу мариноваться на 30 минут (можно на 1 час для более насыщенного вкуса).
Разогрейте духовку до 180°C.
Выложите куриное филе на противень или в форму для запекания.
Запекайте 20-25 минут, периодически поливая филе выделяющимся соком.
Когда курица станет мягкой и слегка золотистой, она готова.
Подавайте курицу горячей, украсив ломтиками лимона и свежей зеленью.
Лимон придает курице легкую кислинку и освежающий аромат, при этом сохраняя ее сочной и нежной.",второе блюдо,курица,второе блюдо
23,Куриные котлеты на пару,"Куриное филе – 150 г
🧅 Лук – ¼ шт.
🥚 Яйцо – ½ шт. (или 1 белок)
🌾 Овсяные хлопья – 1 ст. л. (или овсяная мука)
🧂 Соль – по вкусу
🌿 Зелень (укроп, петрушка) – по желанию
Вода – 1-2 ст. л.","Промойте куриное филе, обсушите его и измельчите в блендере или мясорубке.
Лук мелко нарежьте или измельчите вместе с куриным филе.
В куриный фарш добавьте яйцо (или только белок), овсяные хлопья, немного соли и зелень по вкусу. Если фарш получается суховатым, добавьте 1-2 ст. л. воды.
Сформируйте небольшие котлеты из полученного фарша. Чтобы легче было лепить, смочите руки водой.
Поместите котлеты в пароварку или мультиварку.
Готовьте котлеты на пару в течение 20-25 минут до полной готовности.
Подавайте котлеты горячими с овощным гарниром или кашей.
Овсяные хлопья или овсяная мука в фарше делают котлеты более нежными и легко усваиваемыми.",второе блюдо,курица,второе блюдо
24,Куриные котлеты с тыквенными семечками,"Куриное филе – 150 г
🌻 Тыквенные семечки (очищенные) – 1 ст. ложка
🥚 Яйцо – 1 шт.
🌾 Овсяные отруби (или мука) – 1 ст. ложка (по желанию, для большей связности)
🧂 Соль – по вкусу","Промойте куриное филе и измельчите его в блендере или прокрутите через мясорубку, чтобы получилось фарш.
Тыквенные семечки можно слегка измельчить ножом, оставив некоторые кусочки для текстуры.
В миске смешайте куриный фарш, тыквенные семечки и яйцо. При необходимости добавьте овсяные отруби или небольшое количество муки для связности.
Посолите смесь по вкусу и тщательно перемешайте.
Сформируйте из фарша котлеты средней толщины. Чтобы масса не прилипала к рукам, можно слегка смочить их водой.
Приготовьте котлеты на пару в пароварке или мультиварке примерно 15–20 минут, до полной готовности.
Также можно запечь котлеты в духовке при температуре 180°C в течение 20–25 минут.
Подавайте котлеты с легким овощным гарниром, таким как брокколи или цветная капуста, либо с салатом из свежих овощей.",второе блюдо,курица,второе блюдо
25,"Куриные котлеты с брокколи, приготовленные на пару","Куриное филе – 150 г
🥦 Брокколи – 50 г
🥚 Яйцо – 1/2 шт. (можно использовать только белок)
🌿 Укроп или петрушка – по вкусу
🧂 Соль – по вкусу","Измельчите куриное филе в блендере или пропустите через мясорубку.
Брокколи отварите в кипящей воде в течение 2–3 минут, затем измельчите на маленькие кусочки.
В миске соедините куриный фарш, брокколи, половину яйца (или только белок для более легкого блюда).
Добавьте мелко нарезанный укроп или петрушку и посолите по вкусу.
Тщательно перемешайте массу до однородности.
Сформируйте небольшие котлеты из полученного фарша.
Выложите котлеты в пароварку (или на решетку для приготовления на пару).
Готовьте на среднем огне 20–25 минут, до полной готовности.
Подавайте куриные котлеты с брокколи с овощным гарниром или легким соусом, подходящим для диеты при синдроме Жильбера.",второе блюдо,курица,второе блюдо
26,Куриные кусочки в яблочном соке,"Куриное филе – 150 г
Яблочный сок (натуральный, без сахара) – 100 мл
🧅 Лук – ¼ шт. (по желанию)
🌿 Зелень (укроп, петрушка) – по вкусу
🧂 Соль – по вкусу","Нарежьте куриное филе небольшими кусочками.
При желании нарежьте лук мелкими кубиками.
Выложите куриные кусочки в миску, залейте их яблочным соком, добавьте лук и немного соли.
Оставьте мариноваться на 15-20 минут для придания нежного вкуса и аромата.
Переложите куриные кусочки вместе с яблочным соком в сковороду с антипригарным покрытием.
Тушите на среднем огне около 15-20 минут, пока курица не станет мягкой и полностью приготовится. При необходимости добавьте немного воды, чтобы курица не пригорела.
За 2-3 минуты до окончания готовки добавьте зелень.
Подавайте курицу в яблочном соке с рисом, овощами или легким гарниром по вкусу.",второе блюдо,курица,второе блюдо
27,Куриные тефтели на пару с укропом,"Куриное филе – 150 г
🌿 Укроп (свежий) – 1 веточка
Сухари панировочные (несоленые) – 1 ч. ложка (по желанию)
🧂 Соль – по вкусу","Пропустите куриное филе через мясорубку или измельчите в блендере до состояния фарша.
Мелко нарежьте укроп и добавьте его в фарш.
Посолите по вкусу и тщательно перемешайте. Если фарш получается слишком жидким, добавьте немного панировочных сухарей для густоты.
Сформируйте из фарша небольшие тефтели, размером с грецкий орех.
Выложите тефтели в пароварку (или на решетку для приготовления на пару).
Готовьте на среднем огне около 20 минут, пока тефтели не станут полностью готовыми.
Подавайте куриные тефтели с гарниром из овощей, картофельным пюре или рисом.",второе блюдо,курица,второе блюдо
28,"Картофель, запечённый с розмарином","🥔 Картофель – 150 г (1 средний клубень)
Розмарин (свежий или сушеный) – 1 веточка или 1/4 ч. ложки сушеного
🧈 Оливковое масло – 1/2 ч. ложки
🧂 Соль – по вкусу","Хорошо вымойте картофель и нарежьте его тонкими ломтиками, оставив кожуру (если она тонкая и молодая).
Переложите ломтики в миску.
Посыпьте картофель розмарином и солью.
Добавьте оливковое масло и тщательно перемешайте, чтобы ломтики были равномерно покрыты маслом и приправами.
Разогрейте духовку до 200°C.
Выложите ломтики картофеля на противень, застеленный пергаментом, в один слой.
Запекайте примерно 20–25 минут, пока картофель не станет золотистым и мягким. Переверните ломтики на середине приготовления для равномерного запекания.
Подавайте горячими как гарнир к основному блюду или как самостоятельную закуску.
Можно добавить немного молотого черного перца или чеснока для аромата, если это не противопоказано.",гарниры,картофель,гарниры
